"record","time_s","phase","type","message","details_json","obstacle_id","peak_closing_speed_m_s","total_normal_impulse_Ns","peak_tick_impulse_Ns","estimated_peak_load_N","fender_coverage","bottomed_out","penalty_s","contact_duration_s"
"telemetry","6.9999999999999805","","snapshot","","{""state"":{""x"":0.01813767146058492,""y"":-21.77255939743189,""heading"":0.0014568379366368947,""vx"":0.001102855777638776,""vy"":0.3543063638038952,""yaw"":0.00006208665091839627,""port"":0.7835299396119308,""starboard"":0.7835299396119308,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":1,""starboard"":1,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":0.003112707894822259,""berthBearing"":-0.0004801811250257357,""phase"":""approach"",""progress"":{""elapsed"":6.9999999999999805,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","7.999999999999977","","snapshot","","{""state"":{""x"":0.019394545529132116,""y"":-21.244517214415946,""heading"":0.0015092392611479146,""vx"":0.001428586778090986,""vy"":0.7000394397057197,""yaw"":0.00004404671671218219,""port"":0.91278630776882,""starboard"":0.91278630776882,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":1,""starboard"":1,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":0.0020407204422016882,""berthBearing"":-0.0005207355397959432,""phase"":""approach"",""progress"":{""elapsed"":7.999999999999977,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","9.000000000000027","","snapshot","","{""state"":{""x"":0.021028095582310977,""y"":-20.36783850227025,""heading"":0.0015464152572747104,""vx"":0.0018375602656036478,""vy"":1.0436395672376944,""yaw"":0.00003124918999349105,""port"":0.9648624474952371,""starboard"":0.9648624474952371,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":1,""starboard"":1,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":0.001760721253190206,""berthBearing"":-0.0005782057473009858,""phase"":""approach"",""progress"":{""elapsed"":9.000000000000027,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","10.000000000000076","","snapshot","","{""state"":{""x"":0.02307736956054985,""y"":-19.163900255290223,""heading"":0.0015727901930065583,""vx"":0.0022503185760609657,""vy"":1.3516208595053543,""yaw"":0.000022170271548225874,""port"":0.9858434201736094,""starboard"":0.9858434201736094,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":1,""starboard"":1,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":0.0016649021661779824,""berthBearing"":-0.0006562800508430489,""phase"":""approach"",""progress"":{""elapsed"":10.000000000000076,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","11.000000000000126","","snapshot","","{""state"":{""x"":0.025522247349094935,""y"":-17.676229284299406,""heading"":0.0015915024506082435,""vx"":0.0026247406756958456,""vy"":1.6109023720389957,""yaw"":0.000015729257921683537,""port"":0.9942964510019927,""starboard"":0.9942964510019927,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":1,""starboard"":1,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":0.0016293590465343499,""berthBearing"":-0.0007578711454670092,""phase"":""approach"",""progress"":{""elapsed"":11.000000000000126,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","12.000000000000176","","snapshot","","{""state"":{""x"":0.028313712329935358,""y"":-15.955009122966295,""heading"":0.0016047783881073556,""vx"":0.0029429195917391533,""vy"":1.8199368849270479,""yaw"":0.000011159608911408457,""port"":0.9977020953103357,""starboard"":0.9977020953103357,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":1,""starboard"":1,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":0.0016170434541080178,""berthBearing"":-0.0008860490326084335,""phase"":""approach"",""progress"":{""elapsed"":12.000000000000176,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","13.000000000000226","","snapshot","","{""state"":{""x"":0.03139299399979725,""y"":-14.04852387692154,""heading"":0.0016141974403835156,""vx"":0.0032016592981033995,""vy"":1.9832437875272813,""yaw"":0.000007917575386302317,""port"":0.9990741964407377,""starboard"":0.9990741964407377,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":1,""starboard"":1,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":0.0016143534833776832,""berthBearing"":-0.0010447429200413341,""phase"":""approach"",""progress"":{""elapsed"":13.000000000000226,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","14.000000000000275","","snapshot","","{""state"":{""x"":0.034702596510413436,""y"":-11.99901108870937,""heading"":0.001620880130708136,""vx"":0.0034056400085371386,""vy"":2.1078995422964746,""yaw"":0.000005617423975158451,""port"":0.9996270027063358,""starboard"":0.9996270027063358,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":1,""starboard"":1,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":0.0016156543406877575,""berthBearing"":-0.0012394215863844335,""phase"":""approach"",""progress"":{""elapsed"":14.000000000000275,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","15.000000000000325","","snapshot","","{""state"":{""x"":0.03819170418631779,""y"":-9.841273369869922,""heading"":0.0016256214256190919,""vx"":0.0035629049385563602,""vy"":2.201435208318161,""yaw"":0.0000039855058644808906,""port"":0.9998497230004263,""starboard"":0.9998497230004263,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":1,""starboard"":1,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":0.001618445009984724,""berthBearing"":-0.001477933220722578,""phase"":""approach"",""progress"":{""elapsed"":15.000000000000325,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
"telemetry","16.000000000000373","","snapshot","","{""state"":{""x"":0.04181806161962678,""y"":-7.602848910802963,""heading"":0.001628985330219225,""vx"":0.00368220193956818,""vy"":2.270740931411804,""yaw"":0.0000028276821554362624,""port"":0.9999394548513232,""starboard"":0.9999394548513232,""rudder"":0,""contact"":false,""impact"":0},""controls"":{""port"":1,""starboard"":1,""rudder"":0},""weather"":{""speed"":0,""direction"":1.5707963267948966,""currentX"":0,""currentY"":0},""fenders"":{""port"":{""deployed"":false,""target"":false,""remaining"":0},""starboard"":{""deployed"":true,""target"":true,""remaining"":0}},""mooring"":{""bow"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false},""stern"":{""attached"":false,""restLength"":0,""tension"":0,""extension"":0,""peakTension"":0,""overloadTime"":0,""warning"":false,""broken"":false}},""course"":0.0016215846823983506,""berthBearing"":-0.0017717360315842568,""phase"":""approach"",""progress"":{""elapsed"":16.000000000000373,""phase"":""approach"",""arrivalAt"":null,""securedAt"":null,""dwell"":0,""success"":false,""collisions"":0,""penalty"":0},""paused"":false}","","","","","","","","",""
